array_bytes,array_kb,ns_per_access
1024,1.0000,0.974750
2048,2.0000,0.999064
4096,4.0000,1.002314
8192,8.0000,0.997564
16384,16.0000,1.008081
32768,32.0000,1.005079
65536,64.0000,1.015335
131072,128.0000,1.008831
262144,256.0000,1.006580
524288,512.0000,1.009115
1048576,1024.0000,1.007334
2097152,2048.0000,1.001358
4194304,4096.0000,1.006126
8388608,8192.0000,1.013279
16777216,16384.0000,1.005650
33554432,32768.0000,1.005650
67108864,65536.0000,1.004934
134217728,131072.0000,1.020402
268435456,262144.0000,1.007602
