array_bytes,array_kb,copy_gb_per_s,sum_gb_per_s
4096,4,241.685,17.2155
8192,8,244.064,17.1936
16384,16,248.688,16.9268
32768,32,165.511,17.1732
65536,64,222.706,17.0762
131072,128,190.911,16.9934
262144,256,178.336,17.1867
524288,512,172.64,17.1422
1048576,1024,163.503,17.1835
2097152,2048,156.455,17.1847
4194304,4096,167.056,17.1146
8388608,8192,142.414,17.1463
16777216,16384,103.991,17.1751
33554432,32768,108.678,17.1418
67108864,65536,109.715,17.1718
134217728,131072,110.958,17.1617
268435456,262144,109.296,17.1432
